epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1908,2.9053,12.1631,2.29773,0.00269,0.39472,0.07406,0.05522,2.26163,7.32019,1.90685,0.00027036,0.00027036,0.00027036
2,32.8947,2.67232,8.14532,2.18097,0.00302,0.39406,0.10024,0.05939,2.28261,6.98455,2.09683,0.000542601,0.000542601,0.000542601
3,47.7849,2.64995,7.14584,2.17536,0.85251,0.10124,0.2516,0.15941,2.387,5.18253,2.17865,0.000809344,0.000809344,0.000809344
4,62.7264,2.70448,6.25336,2.18263,0.62248,0.30524,0.39319,0.24688,2.56101,4.65574,2.24119,0.00080826,0.00080826,0.00080826
5,80.8354,2.60113,5.56115,2.16165,0.60029,0.44335,0.47987,0.30798,2.52651,3.98908,2.228,0.000800013,0.000800013,0.000800013
6,96.0167,2.57676,4.54159,2.12731,0.50972,0.6589,0.60331,0.39706,2.40589,3.04172,2.13495,0.000791767,0.000791767,0.000791767
7,110.716,2.46362,3.89185,2.10477,0.6752,0.41829,0.54897,0.35139,2.60325,2.8613,2.20956,0.00078352,0.00078352,0.00078352
8,125.384,2.51268,3.61485,2.0851,0.66153,0.56347,0.69429,0.43228,2.3884,2.60018,2.08026,0.000775273,0.000775273,0.000775273
9,140.263,2.48567,3.16926,2.09411,0.5162,0.65424,0.65385,0.41172,2.4515,2.59362,2.19163,0.000767026,0.000767026,0.000767026
10,154.988,2.46384,2.95756,2.0734,0.51261,0.69247,0.61008,0.40647,2.42716,2.53224,2.11862,0.00075878,0.00075878,0.00075878
11,169.642,2.40111,2.70907,2.08385,0.59738,0.53621,0.64689,0.43593,2.3766,2.28007,2.12501,0.000750533,0.000750533,0.000750533
12,184.481,2.41012,2.53916,2.07121,0.61086,0.66081,0.75008,0.49786,2.29824,2.12489,2.05385,0.000742286,0.000742286,0.000742286
13,199.361,2.3358,2.32516,2.03506,0.72677,0.57817,0.75021,0.51326,2.27809,1.99466,2.03414,0.00073404,0.00073404,0.00073404
14,213.653,2.402,2.29037,2.05448,0.64429,0.75332,0.79928,0.51962,2.20874,2.04946,2.023,0.000725793,0.000725793,0.000725793
15,228.361,2.38448,2.27189,2.04131,0.63639,0.70412,0.74006,0.47992,2.18851,2.10807,2.02613,0.000717546,0.000717546,0.000717546
16,242.942,2.35125,2.11553,2.01947,0.69064,0.72606,0.80057,0.53899,2.25215,1.97206,2.03597,0.000709299,0.000709299,0.000709299
17,258.424,2.32467,2.07361,2.02924,0.79648,0.73831,0.81316,0.53196,2.2168,1.88841,2.02981,0.000701053,0.000701053,0.000701053
18,274.628,2.31752,1.98442,2.02047,0.77684,0.74486,0.85004,0.53424,2.2164,1.81875,2.0219,0.000692806,0.000692806,0.000692806
19,289.547,2.34699,1.9288,2.02583,0.53773,0.63122,0.63261,0.44318,2.29135,2.43934,2.1021,0.000684559,0.000684559,0.000684559
