epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6698,3.11846,11.9391,2.21508,0.00012,0.03608,0.00013,5e-05,2.86259,10.9704,2.33623,0.000541044,0.000541044,0.000541044
2,24.6127,2.93008,7.79028,2.15913,0.40149,0.12075,0.27789,0.16648,2.76652,7.36601,2.21043,0.00108585,0.00108585,0.00108585
3,36.6963,2.95999,6.15274,2.16841,0.46036,0.20927,0.21619,0.11224,3.08697,5.76072,3.02371,0.00161966,0.00161966,0.00161966
4,48.8456,2.98971,4.73997,2.18554,0.47197,0.28103,0.2827,0.17473,3.07372,12.6342,2.63992,0.00161749,0.00161749,0.00161749
5,60.9604,2.88074,3.87704,2.20119,0.38743,0.50296,0.38415,0.22005,2.77889,4.2624,2.28925,0.00160099,0.00160099,0.00160099
6,73.1552,2.87423,3.14652,2.16744,0.60062,0.5519,0.52373,0.2937,3.04938,7.87608,2.59357,0.00158448,0.00158448,0.00158448
7,85.4661,2.70895,2.73415,2.11993,0.57496,0.64552,0.64646,0.36303,2.6971,2.67744,2.18598,0.00156798,0.00156798,0.00156798
8,98.0014,2.75613,2.57974,2.1328,0.59573,0.59489,0.65123,0.38219,2.57834,2.52896,2.15742,0.00155148,0.00155148,0.00155148
9,110.626,2.80172,2.40736,2.13848,0.72294,0.72195,0.76613,0.41136,2.57745,2.13584,2.10357,0.00153497,0.00153497,0.00153497
10,123.247,2.66944,2.23027,2.08186,0.66827,0.65775,0.7054,0.39779,2.66127,2.45282,2.14017,0.00151847,0.00151847,0.00151847
11,135.892,2.64338,2.1329,2.09579,0.61852,0.58913,0.66284,0.40434,2.65034,2.44148,2.18081,0.00150197,0.00150197,0.00150197
12,148.355,2.65819,2.09088,2.11693,0.66966,0.74121,0.79145,0.4591,2.43469,2.07776,2.07583,0.00148546,0.00148546,0.00148546
13,160.921,2.58208,1.94841,2.05603,0.72262,0.6425,0.77477,0.47108,2.46584,1.94406,2.11497,0.00146896,0.00146896,0.00146896
14,173.427,2.60274,1.95553,2.07785,0.72792,0.68967,0.78946,0.48682,2.39333,1.94338,2.06432,0.00145246,0.00145246,0.00145246
15,186.114,2.61008,1.9813,2.08373,0.72394,0.67913,0.73776,0.4506,2.30194,2.48189,2.06334,0.00143595,0.00143595,0.00143595
16,198.852,2.59365,1.87549,2.04911,0.69476,0.79426,0.80377,0.449,2.54128,2.00071,2.10721,0.00141945,0.00141945,0.00141945
17,211.558,2.55174,1.84486,2.03833,0.70095,0.68686,0.7403,0.43684,2.53391,2.0728,2.12546,0.00140295,0.00140295,0.00140295
18,224.203,2.57482,1.80231,2.03315,0.78558,0.67381,0.76457,0.48713,2.50974,2.23486,2.09395,0.00138644,0.00138644,0.00138644
19,236.993,2.55651,1.74806,2.0295,0.75012,0.75964,0.79757,0.51798,2.40132,1.84315,2.06029,0.00136994,0.00136994,0.00136994
20,249.684,2.49776,1.72725,2.03637,0.77736,0.83868,0.88309,0.53522,2.38813,1.69289,2.02648,0.00135344,0.00135344,0.00135344
21,262.592,2.51472,1.69428,2.02431,0.73933,0.80106,0.85049,0.50652,2.44211,1.82375,2.07075,0.00133693,0.00133693,0.00133693
22,275.106,2.45421,1.6687,2.00008,0.82049,0.71874,0.85176,0.5425,2.28468,1.78834,1.99248,0.00132043,0.00132043,0.00132043
23,287.281,2.47218,1.67867,2.01926,0.73199,0.7871,0.85014,0.51256,2.31678,1.69034,2.00065,0.00130393,0.00130393,0.00130393
24,299.337,2.45208,1.66266,1.99805,0.75645,0.76892,0.8523,0.53994,2.30162,1.81768,2.02998,0.00128742,0.00128742,0.00128742
25,311.365,2.45723,1.63374,2.00511,0.76531,0.79447,0.84385,0.5398,2.3382,1.89133,2.06101,0.00127092,0.00127092,0.00127092
26,323.468,2.37971,1.55191,1.98461,0.69944,0.80704,0.82378,0.54284,2.24409,1.90474,2.0022,0.00125442,0.00125442,0.00125442
27,336.058,2.44644,1.63147,2.00538,0.79242,0.84669,0.89963,0.59537,2.25422,1.71509,2.01025,0.00123791,0.00123791,0.00123791
28,348.807,2.43079,1.56634,1.98766,0.8528,0.78818,0.86503,0.5408,2.40537,1.5628,2.05409,0.00122141,0.00122141,0.00122141
29,361.242,2.41985,1.55655,1.98528,0.8382,0.82859,0.8977,0.58582,2.27274,1.52068,2.01571,0.00120491,0.00120491,0.00120491
30,373.942,2.40568,1.56629,2.00178,0.85207,0.7989,0.89022,0.56373,2.40519,1.54037,2.01736,0.0011884,0.0011884,0.0011884
31,386.095,2.42359,1.49755,1.95162,0.81226,0.83273,0.88268,0.54576,2.35261,1.52716,2.01523,0.0011719,0.0011719,0.0011719
