epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9188,2.09519,6.9543,2.2869,0.57957,0.52294,0.60334,0.44657,2.15364,2.77018,2.20537,0.00331754,0.00331754,0.00331754
2,128.103,1.89721,3.6389,2.1446,0.68211,0.69208,0.73962,0.54921,2.0061,1.90011,2.14419,0.00658503,0.00658503,0.00658503
3,189.871,1.97071,2.62264,2.16876,0.69299,0.68528,0.72351,0.49948,2.18694,2.47935,2.29014,0.00978652,0.00978652,0.00978652
4,250.571,2.0223,2.04784,2.19624,0.67569,0.7007,0.75695,0.52372,2.18918,2.32025,2.26387,0.009703,0.009703,0.009703
5,311.315,1.9605,1.6834,2.16311,0.78062,0.81475,0.85445,0.62321,1.92069,1.42598,2.08166,0.009604,0.009604,0.009604
6,372.01,1.8419,1.44149,2.10002,0.7819,0.82935,0.8608,0.64668,1.84499,1.352,2.03263,0.009505,0.009505,0.009505
7,432.983,1.78893,1.33223,2.08088,0.73935,0.79776,0.83151,0.61103,1.96904,1.45008,2.07796,0.009406,0.009406,0.009406
8,493.659,1.71971,1.2035,2.0385,0.82169,0.85702,0.90006,0.68701,1.79336,1.14931,1.98577,0.009307,0.009307,0.009307
9,554.323,1.69934,1.15468,2.02828,0.89057,0.76512,0.84322,0.64719,1.81961,1.36478,2.0139,0.009208,0.009208,0.009208
10,615.108,1.64177,1.09231,2.00551,0.83075,0.86245,0.9054,0.70171,1.70064,1.03326,1.9525,0.009109,0.009109,0.009109
11,675.72,1.62376,1.03948,1.99332,0.81695,0.87946,0.90685,0.68727,1.82581,1.07573,2.00783,0.00901,0.00901,0.00901
12,736.495,1.60128,0.9906,1.98913,0.87581,0.8908,0.92342,0.72154,1.68645,0.99706,1.93187,0.008911,0.008911,0.008911
13,797.309,1.57002,0.9584,1.96918,0.89516,0.86142,0.91803,0.72456,1.66543,0.9593,1.90363,0.008812,0.008812,0.008812
14,857.755,1.53894,0.92583,1.95748,0.86948,0.92788,0.94297,0.7414,1.65759,0.8674,1.88967,0.008713,0.008713,0.008713
15,918.362,1.52436,0.90276,1.95125,0.89609,0.88653,0.93568,0.73734,1.63881,0.8767,1.89771,0.008614,0.008614,0.008614
16,979.12,1.51397,0.88476,1.94554,0.89197,0.91894,0.95074,0.75366,1.59733,0.82572,1.87238,0.008515,0.008515,0.008515
17,1039.63,1.49296,0.8405,1.93479,0.91694,0.89036,0.94362,0.75129,1.59131,0.81543,1.84477,0.008416,0.008416,0.008416
18,1099.96,1.4614,0.82836,1.92806,0.90814,0.90256,0.95178,0.74766,1.65425,0.82708,1.91266,0.008317,0.008317,0.008317
19,1160.58,1.4544,0.81465,1.92406,0.93217,0.91135,0.95998,0.77221,1.58778,0.77603,1.85692,0.008218,0.008218,0.008218
20,1221.17,1.43673,0.79617,1.91502,0.88712,0.92159,0.95453,0.75819,1.58441,0.78192,1.86313,0.008119,0.008119,0.008119
21,1281.62,1.42022,0.79044,1.90967,0.92579,0.94052,0.96707,0.78269,1.53429,0.73178,1.84485,0.00802,0.00802,0.00802
22,1342.27,1.39879,0.76322,1.90011,0.86862,0.9429,0.95815,0.77615,1.50561,0.72623,1.83717,0.007921,0.007921,0.007921
23,1403.05,1.40232,0.76461,1.8976,0.91706,0.93449,0.96596,0.77565,1.54252,0.75045,1.83462,0.007822,0.007822,0.007822
24,1463.8,1.38026,0.75045,1.89039,0.92732,0.9309,0.96937,0.78579,1.50358,0.71358,1.81836,0.007723,0.007723,0.007723
25,1524.63,1.37976,0.7391,1.89108,0.94475,0.94595,0.97023,0.7883,1.47258,0.7027,1.81812,0.007624,0.007624,0.007624
26,1585.14,1.34741,0.71938,1.87808,0.9293,0.93191,0.96736,0.78571,1.48721,0.71148,1.81946,0.007525,0.007525,0.007525
27,1646,1.34224,0.71366,1.87861,0.91314,0.95299,0.96805,0.78896,1.46633,0.6608,1.80352,0.007426,0.007426,0.007426
28,1706.72,1.3424,0.71306,1.8789,0.9531,0.91637,0.96878,0.78963,1.43762,0.66637,1.79767,0.007327,0.007327,0.007327
29,1767.29,1.34239,0.69865,1.87039,0.93263,0.95172,0.97346,0.79708,1.42799,0.67036,1.79814,0.007228,0.007228,0.007228
30,1827.98,1.31642,0.69233,1.87057,0.92267,0.94267,0.97056,0.80849,1.42841,0.64402,1.79221,0.007129,0.007129,0.007129
31,1888.44,1.30795,0.68761,1.86172,0.93054,0.94344,0.97514,0.79816,1.43497,0.68176,1.79205,0.00703,0.00703,0.00703
32,1949.2,1.28437,0.67984,1.85753,0.93322,0.95232,0.97863,0.80424,1.42255,0.64336,1.78293,0.006931,0.006931,0.006931
33,2009.96,1.29393,0.67156,1.85665,0.92817,0.95233,0.97546,0.8009,1.4131,0.63761,1.77707,0.006832,0.006832,0.006832
34,2070.8,1.27381,0.66888,1.85006,0.93702,0.95143,0.97681,0.80512,1.38242,0.62794,1.77506,0.006733,0.006733,0.006733
35,2131.34,1.27455,0.65833,1.854,0.95343,0.95861,0.97879,0.82086,1.37117,0.61641,1.76872,0.006634,0.006634,0.006634
36,2191.75,1.2632,0.65693,1.85371,0.94285,0.94797,0.97774,0.81339,1.37092,0.65053,1.76811,0.006535,0.006535,0.006535
37,2252.22,1.25748,0.64666,1.84366,0.9454,0.95378,0.9807,0.81789,1.37134,0.61419,1.76468,0.006436,0.006436,0.006436
38,2312.8,1.24878,0.64749,1.84267,0.95452,0.94562,0.98341,0.82026,1.37022,0.61254,1.75775,0.006337,0.006337,0.006337
39,2373.35,1.23095,0.64141,1.83638,0.95907,0.95158,0.98449,0.82303,1.35904,0.6014,1.75686,0.006238,0.006238,0.006238
40,2433.95,1.22637,0.64293,1.83531,0.93813,0.94993,0.97959,0.81944,1.3532,0.60905,1.75463,0.006139,0.006139,0.006139
41,2494.63,1.22443,0.63545,1.83322,0.95959,0.95215,0.98162,0.8322,1.33374,0.59526,1.7523,0.00604,0.00604,0.00604
42,2555.11,1.2174,0.61761,1.83098,0.96542,0.94544,0.98309,0.82413,1.34845,0.59513,1.75265,0.005941,0.005941,0.005941
43,2615.74,1.2162,0.62758,1.83264,0.9608,0.9403,0.97964,0.82164,1.35977,0.59557,1.74917,0.005842,0.005842,0.005842
44,2676.5,1.21046,0.61141,1.8263,0.95835,0.96275,0.98601,0.83132,1.3241,0.57845,1.74843,0.005743,0.005743,0.005743
45,2737.3,1.193,0.61449,1.82596,0.95221,0.95488,0.98251,0.82578,1.32099,0.59931,1.75299,0.005644,0.005644,0.005644
46,2797.86,1.19541,0.60472,1.83074,0.95088,0.94223,0.97985,0.82622,1.31095,0.58517,1.74866,0.005545,0.005545,0.005545
47,2858.42,1.18538,0.60036,1.82144,0.9451,0.95862,0.98294,0.83032,1.32814,0.57206,1.7468,0.005446,0.005446,0.005446
48,2918.04,1.17205,0.58901,1.81655,0.95447,0.94915,0.98294,0.83634,1.29833,0.56831,1.74537,0.005347,0.005347,0.005347
49,2977.81,1.16416,0.58486,1.81648,0.96256,0.95508,0.98645,0.83376,1.3125,0.56351,1.7438,0.005248,0.005248,0.005248
50,3037.62,1.14946,0.58297,1.80977,0.93763,0.96372,0.98243,0.83698,1.30517,0.56673,1.74747,0.005149,0.005149,0.005149
51,3097.28,1.16788,0.58911,1.81081,0.95723,0.96483,0.98248,0.8341,1.31573,0.56577,1.74437,0.00505,0.00505,0.00505
52,3156.71,1.15247,0.56984,1.80875,0.95438,0.9543,0.98412,0.8369,1.29217,0.56339,1.74346,0.004951,0.004951,0.004951
53,3216.08,1.13662,0.56969,1.80205,0.94955,0.96138,0.98373,0.84212,1.27573,0.55712,1.72602,0.004852,0.004852,0.004852
54,3275.73,1.14945,0.57401,1.79876,0.95124,0.9679,0.98319,0.83792,1.28174,0.5562,1.72976,0.004753,0.004753,0.004753
55,3335.54,1.14733,0.57096,1.80545,0.96005,0.95088,0.98075,0.84204,1.27031,0.5603,1.72719,0.004654,0.004654,0.004654
56,3395.19,1.12404,0.558,1.7988,0.96543,0.95674,0.98312,0.84076,1.26915,0.54694,1.72787,0.004555,0.004555,0.004555
57,3454.85,1.12032,0.55526,1.79545,0.9575,0.97089,0.98398,0.84174,1.26733,0.54509,1.72507,0.004456,0.004456,0.004456
